start	end	CRUD_Test
r0 := @parameter0: java.lang.Object	l0 = -1L	0
l0 = -1L	$z0 = r0 instanceof java.lang.Long	1
$z0 = r0 instanceof java.lang.Long	if $z0 == 0 goto $z1 = r0 instanceof java.lang.Integer	1
if $z0 == 0 goto $z1 = r0 instanceof java.lang.Integer	$r1 = (java.lang.Long) r0	0
if $z0 == 0 goto $z1 = r0 instanceof java.lang.Integer	$z1 = r0 instanceof java.lang.Integer	0
$r1 = (java.lang.Long) r0	l0 = virtualinvoke $r1.<java.lang.Long: long longValue()>()	1
l0 = virtualinvoke $r1.<java.lang.Long: long longValue()>()	goto [?= $r3 = new java.lang.StringBuilder]	1
goto [?= $r3 = new java.lang.StringBuilder]	$r3 = new java.lang.StringBuilder	0
$z1 = r0 instanceof java.lang.Integer	if $z1 == 0 goto $r3 = new java.lang.StringBuilder	1
if $z1 == 0 goto $r3 = new java.lang.StringBuilder	$r2 = (java.lang.Integer) r0	0
if $z1 == 0 goto $r3 = new java.lang.StringBuilder	$r3 = new java.lang.StringBuilder	0
$r2 = (java.lang.Integer) r0	$i1 = virtualinvoke $r2.<java.lang.Integer: int intValue()>()	1
$i1 = virtualinvoke $r2.<java.lang.Integer: int intValue()>()	l0 = (long) $i1	1
l0 = (long) $i1	$r3 = new java.lang.StringBuilder	0
$r3 = new java.lang.StringBuilder	$r4 = staticinvoke <java.lang.String: java.lang.String valueOf(long)>(l0)	1
$r4 = staticinvoke <java.lang.String: java.lang.String valueOf(long)>(l0)	specialinvoke $r3.<java.lang.StringBuilder: void <init>(java.lang.String)>($r4)	1
specialinvoke $r3.<java.lang.StringBuilder: void <init>(java.lang.String)>($r4)	$r5 = virtualinvoke $r3.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>(" s")	0
$r5 = virtualinvoke $r3.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>(" s")	$r6 = virtualinvoke $r5.<java.lang.StringBuilder: java.lang.String toString()>()	1
$r6 = virtualinvoke $r5.<java.lang.StringBuilder: java.lang.String toString()>()	return $r6	1
